number,status,codeshareStatus,isCargo,scheduled_utc,revised_utc,gate,dest_iata,dest_name,dest_country,airline_name,airline_iata,aircraft_model,delay_min,is_outlier,dep_hour,dep_dow,dep_month,is_weekend,route,route_avg_delay,aircraft_family
U2 8472,Departed,IsOperator,False,2025-10-19 14:45:00+00:00,2025-10-19 14:45:00+00:00,E46,LGW,London,gb,easyJet,U2,Airbus A319,0.0,False,14,6,10,1,LGW,11.219917012448132,Narrow-body
WK 330,Departed,IsOperator,False,2025-10-19 14:50:00+00:00,2025-10-19 14:45:00+00:00,A84,ZTH,Zakynthos Island,gr,Edelweiss Air,WK,Airbus A320,-5.0,False,14,6,10,1,ZTH,0.4666666666666667,Narrow-body
LX 1380,Departed,IsOperator,False,2025-10-19 14:50:00+00:00,2025-10-19 14:50:00+00:00,A51,GDN,Gdańsk,pl,SWISS,LX,Embraer 195,0.0,False,14,6,10,1,GDN,8.307692307692308,Regional
LX 2064,Departed,IsOperator,False,2025-10-19 14:45:00+00:00,2025-10-19 14:50:00+00:00,A82,OPO,Porto,pt,SWISS,LX,Airbus A320 NEO,5.0,False,14,6,10,1,OPO,13.863888888888889,Narrow-body
LX 2808,Departed,IsOperator,False,2025-10-19 14:55:00+00:00,2025-10-19 14:55:00+00:00,A54,GVA,Geneva,ch,SWISS,LX,Airbus A220-100,0.0,False,14,6,10,1,GVA,7.534985422740525,Narrow-body
LX 2176,Departed,IsOperator,False,2025-10-19 14:55:00+00:00,2025-10-19 14:55:00+00:00,A75,ALC,Alicante,es,SWISS,LX,Embraer 195,0.0,False,14,6,10,1,ALC,9.637795275590552,Regional
LX 1106,Departed,IsOperator,False,2025-10-19 14:55:00+00:00,2025-10-19 14:55:00+00:00,B04,MUC,Munich,de,SWISS,LX,Airbus A320,0.0,False,14,6,10,1,MUC,8.583617747440274,Narrow-body
WK 290,Departed,IsOperator,False,2025-10-19 14:55:00+00:00,2025-10-19 14:55:00+00:00,E34,EDI,Edinburgh,gb,Edelweiss Air,WK,Airbus A350-900,0.0,False,14,6,10,1,EDI,10.41,Wide-body
LX 1720,Departed,IsOperator,False,2025-10-19 15:00:00+00:00,2025-10-19 15:00:00+00:00,A52,BDS,Brindisi,it,SWISS,LX,Airbus A220-100,0.0,False,15,6,10,1,BDS,7.729166666666667,Narrow-body
XXJ 650,Departed,IsOperator,False,2025-10-19 13:45:00+00:00,2025-10-19 15:00:00+00:00,Unknown,LTN,London,gb,Unknown/Private owner,Unknown,Gulfstream Aerospace G650,75.0,True,13,6,10,1,LTN,10.07,Other
LX 1058,Departed,IsOperator,False,2025-10-19 15:00:00+00:00,2025-10-19 15:05:00+00:00,A73,HAM,Hamburg,de,SWISS,LX,Airbus A220-300,5.0,False,15,6,10,1,HAM,6.9766355140186915,Narrow-body
LX 380,Departed,IsOperator,False,2025-10-19 15:05:00+00:00,2025-10-19 15:05:00+00:00,D31,MAN,Manchester,gb,SWISS,LX,Airbus A220-300,0.0,False,15,6,10,1,MAN,10.26530612244898,Narrow-body
WK 404,Departed,IsOperator,False,2025-10-19 14:05:00+00:00,2025-10-19 15:05:00+00:00,D39,PRN,Prishtina,ks,Edelweiss Air,WK,Airbus A320,60.0,True,14,6,10,1,PRN,9.268987341772151,Narrow-body
LX 326,Departed,IsOperator,False,2025-10-19 15:05:00+00:00,2025-10-19 15:05:00+00:00,D56,LHR,London,gb,SWISS,LX,Embraer 195,0.0,False,15,6,10,1,LHR,6.634457611668186,Regional
LX 1498,Departed,IsOperator,False,2025-10-19 15:05:00+00:00,2025-10-19 15:10:00+00:00,A57,PRG,Prague,cz,SWISS,LX,Airbus A320 NEO,5.0,False,15,6,10,1,PRG,8.132432432432433,Narrow-body
LX 432,Departed,IsOperator,False,2025-10-19 15:10:00+00:00,2025-10-19 15:10:00+00:00,D53,LGW,London,gb,SWISS,LX,Airbus A220-300,0.0,False,15,6,10,1,LGW,11.219917012448132,Narrow-body
LX 1714,Departed,IsOperator,False,2025-10-19 15:10:00+00:00,2025-10-19 15:10:00+00:00,B05,NAP,Nápoli,it,SWISS,LX,Embraer 190,0.0,False,15,6,10,1,NAP,8.4125,Regional
LX 560,Departed,IsOperator,False,2025-10-19 15:10:00+00:00,2025-10-19 15:10:00+00:00,B35,NCE,Nice,fr,SWISS,LX,Airbus A321 NEO,0.0,False,15,6,10,1,NCE,5.177177177177177,Narrow-body
LX 1024,Departed,IsOperator,False,2025-10-19 15:05:00+00:00,2025-10-19 15:10:00+00:00,B02,DUS,Düsseldorf,de,SWISS,LX,Airbus A220-300,5.0,False,15,6,10,1,DUS,7.166666666666667,Narrow-body
LX 464,Departed,IsOperator,False,2025-10-19 14:50:00+00:00,2025-10-19 15:15:00+00:00,D51,LCY,London,gb,SWISS,LX,Embraer 190,25.0,False,14,6,10,1,LCY,6.680981595092025,Regional
LX 2154,Departed,IsOperator,False,2025-10-19 15:15:00+00:00,2025-10-19 15:20:00+00:00,B09,PMI,Palma De Mallorca,es,SWISS,LX,Airbus A321 NEO,5.0,False,15,6,10,1,PMI,10.341603053435115,Narrow-body
LX 424,Departed,IsOperator,False,2025-10-19 15:20:00+00:00,2025-10-19 15:20:00+00:00,D54,BHX,Birmingham,gb,SWISS,LX,Embraer 190,0.0,False,15,6,10,1,BHX,6.287234042553192,Regional
LX 1374,Departed,IsOperator,False,2025-10-19 15:20:00+00:00,2025-10-19 15:20:00+00:00,A53,KRK,Kraków,pl,SWISS,LX,Embraer 190,0.0,False,15,6,10,1,KRK,6.532258064516129,Regional
LX 1680,Departed,IsOperator,False,2025-10-19 15:15:00+00:00,2025-10-19 15:20:00+00:00,A55,FLR,Firenze,it,SWISS,LX,Embraer 195,5.0,False,15,6,10,1,FLR,6.98936170212766,Regional
LX 1352,Departed,IsOperator,False,2025-10-19 15:00:00+00:00,2025-10-19 15:20:00+00:00,A58,WAW,Warsaw,pl,SWISS,LX,Embraer 190,20.0,False,15,6,10,1,WAW,9.523690773067331,Regional
LX 1956,Departed,IsOperator,False,2025-10-19 15:20:00+00:00,2025-10-19 15:20:00+00:00,B41,BCN,Barcelona,es,SWISS,LX,Airbus A321,0.0,False,15,6,10,1,BCN,9.162921348314606,Narrow-body
