number,status,codeshareStatus,isCargo,scheduled_utc,revised_utc,gate,dest_iata,dest_name,dest_country,airline_name,airline_iata,aircraft_model,delay_min,is_outlier,dep_hour,dep_dow,dep_month,is_weekend,route,route_avg_delay,aircraft_family
SQ 345,Departed,IsOperator,False,2025-10-03 09:45:00+00:00,2025-10-03 10:00:00+00:00,E56,SIN,Singapore,sg,Singapore,SQ,Boeing 777-300,15.0,False,9,4,10,0,SIN,6.890173410404624,Wide-body
WK 354,Departed,IsOperator,False,2025-10-03 09:55:00+00:00,2025-10-03 10:00:00+00:00,B35,JMK,Mykonos Island,gr,Edelweiss Air,WK,Airbus A320,5.0,False,9,4,10,0,JMK,1.1538461538461537,Narrow-body
LX 252,Departed,IsOperator,False,2025-10-03 09:50:00+00:00,2025-10-03 10:00:00+00:00,D25,TLV,Tel Aviv Yafo,il,SWISS,LX,Airbus A330,10.0,False,9,4,10,0,TLV,12.823275862068966,Wide-body
BQ 2103,Departed,IsOperator,False,2025-10-03 08:00:00+00:00,2025-10-03 10:00:00+00:00,Unknown,BZO,Bolzano,it,Sky Alps,Unknown,De Havilland Canada DHC-8-400 Dash 8Q,120.0,True,8,4,10,0,BZO,28.0,Regional
UA 53,Departed,IsOperator,False,2025-10-03 09:55:00+00:00,2025-10-03 10:00:00+00:00,E47,IAD,Washington,us,United,UA,Boeing 767-300,5.0,False,9,4,10,0,IAD,12.69182389937107,Wide-body
IB 628,Departed,IsOperator,False,2025-10-03 09:50:00+00:00,2025-10-03 10:00:00+00:00,A74,MAD,Madrid,es,Iberia,IB,Airbus A321,10.0,False,9,4,10,0,MAD,8.555555555555555,Narrow-body
LX 332,Departed,IsOperator,False,2025-10-03 10:05:00+00:00,2025-10-03 10:05:00+00:00,D55,LHR,London,gb,SWISS,LX,Airbus A220-300,0.0,False,10,4,10,0,LHR,6.634457611668186,Narrow-body
IU 1EP,Departed,IsOperator,False,2025-10-03 10:07:00+00:00,2025-10-03 10:07:00+00:00,Unknown,PMI,Palma De Mallorca,es,SW Italia,IU,Airbus A320,0.0,False,10,4,10,0,PMI,10.341603053435115,Narrow-body
KL 1920,Departed,IsOperator,False,2025-10-03 09:50:00+00:00,2025-10-03 10:08:00+00:00,A75,AMS,Amsterdam,nl,KLM,KL,Boeing 737,18.0,False,9,4,10,0,AMS,11.314754098360655,Narrow-body
LX 1888,Departed,IsOperator,False,2025-10-03 10:00:00+00:00,2025-10-03 10:10:00+00:00,A53,OTP,Bucharest,ro,SWISS,LX,Airbus A220-300,10.0,False,10,4,10,0,OTP,11.805405405405406,Narrow-body
LX 1838,Departed,IsOperator,False,2025-10-03 10:05:00+00:00,2025-10-03 10:10:00+00:00,A72,ATH,Athens,gr,SWISS,LX,Airbus A320,5.0,False,10,4,10,0,ATH,9.11860465116279,Narrow-body
LX 1416,Departed,IsOperator,False,2025-10-03 10:15:00+00:00,2025-10-03 10:15:00+00:00,D23,BEG,Belgrade,rs,SWISS,LX,Airbus A220-300,0.0,False,10,4,10,0,BEG,10.236607142857142,Narrow-body
LX 1222,Departed,IsOperator,False,2025-10-03 10:00:00+00:00,2025-10-03 10:15:00+00:00,A57,GOT,Goteborg,se,SWISS,LX,Embraer 190,15.0,False,10,4,10,0,GOT,7.036144578313253,Regional
LX 238,Departed,IsOperator,False,2025-10-03 10:10:00+00:00,2025-10-03 10:15:00+00:00,D52,CAI,Cairo,eg,SWISS,LX,Airbus A320 NEO,5.0,False,10,4,10,0,CAI,13.387755102040817,Narrow-body
LX 1742,Departed,IsOperator,False,2025-10-03 10:00:00+00:00,2025-10-03 10:15:00+00:00,B04,PMO,Palermo,it,SWISS,LX,Airbus A321,15.0,False,10,4,10,0,PMO,6.2894736842105265,Narrow-body
LX 146,Departed,IsOperator,False,2025-10-03 10:10:00+00:00,2025-10-03 10:15:00+00:00,E67,DEL,New Delhi,in,SWISS,LX,Airbus A330,5.0,False,10,4,10,0,DEL,23.496402877697843,Wide-body
LX 2156,Departed,IsOperator,False,2025-10-03 10:10:00+00:00,2025-10-03 10:19:00+00:00,B09,PMI,Palma De Mallorca,es,SWISS,LX,Airbus A321,9.0,False,10,4,10,0,PMI,10.341603053435115,Narrow-body
LX 1710,Departed,IsOperator,False,2025-10-03 10:20:00+00:00,2025-10-03 10:20:00+00:00,B39,NAP,Nápoli,it,SWISS,LX,Airbus A220-300,0.0,False,10,4,10,0,NAP,8.4125,Narrow-body
LX 1372,Departed,IsOperator,False,2025-10-03 10:10:00+00:00,2025-10-03 10:20:00+00:00,A66,KRK,Kraków,pl,SWISS,LX,Embraer 190,10.0,False,10,4,10,0,KRK,6.532258064516129,Regional
LX 1348,Departed,IsOperator,False,2025-10-03 10:15:00+00:00,2025-10-03 10:20:00+00:00,A52,WAW,Warsaw,pl,SWISS,LX,Embraer 190,5.0,False,10,4,10,0,WAW,9.523690773067331,Regional
LX 1722,Departed,IsOperator,False,2025-10-03 10:05:00+00:00,2025-10-03 10:20:00+00:00,A86,BDS,Brindisi,it,SWISS,LX,Airbus A321,15.0,False,10,4,10,0,BDS,7.729166666666667,Narrow-body
LX 2824,Departed,IsOperator,False,2025-10-03 09:55:00+00:00,2025-10-03 10:22:00+00:00,A55,GVA,Geneva,ch,SWISS,LX,Airbus A220-300,27.0,False,9,4,10,0,GVA,7.534985422740525,Narrow-body
LX 1578,Departed,IsOperator,False,2025-10-03 10:25:00+00:00,2025-10-03 10:25:00+00:00,A82,VIE,Vienna,at,SWISS,LX,Airbus A220-300,0.0,False,10,4,10,0,VIE,6.910039113428944,Narrow-body
LX 580,Departed,IsOperator,False,2025-10-03 10:25:00+00:00,2025-10-03 10:25:00+00:00,A54,MRS,Marseille,fr,SWISS,LX,Embraer 190,0.0,False,10,4,10,0,MRS,6.360655737704918,Regional
LX 1954,Departed,IsOperator,False,2025-10-03 10:20:00+00:00,2025-10-03 10:25:00+00:00,A81,BCN,Barcelona,es,SWISS,LX,Airbus A321 NEO,5.0,False,10,4,10,0,BCN,9.162921348314606,Narrow-body
LX 1250,Departed,IsOperator,False,2025-10-03 10:20:00+00:00,2025-10-03 10:25:00+00:00,B02,ARN,Stockholm,se,SWISS,LX,Airbus A320,5.0,False,10,4,10,0,ARN,9.477031802120141,Narrow-body
LX 1376,Departed,IsOperator,False,2025-10-03 10:25:00+00:00,2025-10-03 10:25:00+00:00,A71,WRO,Wrocław,pl,SWISS,LX,Embraer 195,0.0,False,10,4,10,0,WRO,9.6,Regional
LX 242,Departed,IsOperator,False,2025-10-03 10:30:00+00:00,2025-10-03 10:30:00+00:00,E57,DXB,Dubai,ae,SWISS,LX,Airbus A330,0.0,False,10,4,10,0,DXB,9.906976744186046,Wide-body
LX 728,Departed,IsOperator,False,2025-10-03 10:30:00+00:00,2025-10-03 10:30:00+00:00,B03,AMS,Amsterdam,nl,SWISS,LX,Airbus A220-100,0.0,False,10,4,10,0,AMS,11.314754098360655,Narrow-body
LX 2254,Departed,IsOperator,False,2025-10-03 10:25:00+00:00,2025-10-03 10:35:00+00:00,A56,BUD,Budapest,hu,SWISS,LX,Embraer 195,10.0,False,10,4,10,0,BUD,6.648648648648648,Regional
LX 1670,Departed,IsOperator,False,2025-10-03 10:35:00+00:00,2025-10-03 10:35:00+00:00,Unknown,BLQ,Bologna,it,SWISS,LX,Embraer 195,0.0,False,10,4,10,0,BLQ,4.107142857142857,Regional
LX 1270,Departed,IsOperator,False,2025-10-03 10:30:00+00:00,2025-10-03 10:40:00+00:00,A84,CPH,Copenhagen,dk,SWISS,LX,Airbus A320,10.0,False,10,4,10,0,CPH,6.48469387755102,Narrow-body
LX 1056,Departed,IsOperator,False,2025-10-03 10:35:00+00:00,2025-10-03 10:42:00+00:00,B33,HAM,Hamburg,de,SWISS,LX,Airbus A321 NEO,7.0,False,10,4,10,0,HAM,6.9766355140186915,Narrow-body
LX 1486,Departed,IsOperator,False,2025-10-03 10:45:00+00:00,2025-10-03 10:45:00+00:00,A67,PRG,Prague,cz,SWISS,LX,Airbus A220-300,0.0,False,10,4,10,0,PRG,8.132432432432433,Narrow-body
LX 638,Departed,IsOperator,False,2025-10-03 10:45:00+00:00,2025-10-03 10:45:00+00:00,A73,CDG,Paris,fr,SWISS,LX,Airbus A220-300,0.0,False,10,4,10,0,CDG,11.938775510204081,Narrow-body
U2 53GQ,Departed,IsOperator,False,2025-10-03 10:49:00+00:00,2025-10-03 10:49:00+00:00,Unknown,OPO,Porto,pt,easyJet,U2,Airbus A320,0.0,False,10,4,10,0,OPO,13.863888888888889,Narrow-body
WK 226,Departed,IsOperator,False,2025-10-03 09:40:00+00:00,2025-10-03 10:50:00+00:00,B43,BIO,Bilbao,es,Edelweiss Air,WK,Airbus A320,70.0,True,9,4,10,0,BIO,13.552631578947368,Narrow-body
VF 54,Departed,IsOperator,False,2025-10-03 09:40:00+00:00,2025-10-03 10:50:00+00:00,E62,SAW,Istanbul,tr,AJet,VF,Airbus A321,70.0,True,9,4,10,0,SAW,19.242105263157896,Narrow-body
AF 1115,Departed,IsOperator,False,2025-10-03 09:20:00+00:00,2025-10-03 10:50:00+00:00,B10,CDG,Paris,fr,Air France,AF,Airbus A220-300,90.0,True,9,4,10,0,CDG,11.938775510204081,Narrow-body
LX 1072,Departed,IsOperator,False,2025-10-03 10:50:00+00:00,2025-10-03 10:50:00+00:00,A05,FRA,Frankfurt-am-Main,de,SWISS,LX,Embraer 190,0.0,False,10,4,10,0,FRA,7.53932584269663,Regional
LX 86,Departed,IsOperator,False,2025-10-03 10:40:00+00:00,2025-10-03 10:50:00+00:00,E43,YUL,Montreal,ca,SWISS,LX,Airbus A330,10.0,False,10,4,10,0,YUL,15.488372093023257,Wide-body
LX 568,Departed,IsOperator,False,2025-10-03 10:35:00+00:00,2025-10-03 10:52:00+00:00,B07,NCE,Nice,fr,SWISS,LX,Airbus A220-300,17.0,False,10,4,10,0,NCE,5.177177177177177,Narrow-body
AF 9371,Departed,IsOperator,False,2025-10-03 09:20:00+00:00,2025-10-03 10:55:00+00:00,Unknown,CDG,Paris,fr,Air France,AF,Embraer 190,95.0,True,9,4,10,0,CDG,11.938775510204081,Regional
LX 54,Departed,IsOperator,False,2025-10-03 10:55:00+00:00,2025-10-03 10:55:00+00:00,D57,BOS,Boston,us,SWISS,LX,Airbus A330,0.0,False,10,4,10,0,BOS,14.281818181818181,Wide-body
LX 966,Departed,IsOperator,False,2025-10-03 10:40:00+00:00,2025-10-03 10:55:00+00:00,A85,BER,Berlin,de,SWISS,LX,Airbus A320 NEO,15.0,False,10,4,10,0,BER,7.192926045016077,Narrow-body
LX 1018,Departed,IsOperator,False,2025-10-03 10:45:00+00:00,2025-10-03 10:55:00+00:00,B31,DUS,Düsseldorf,de,SWISS,LX,Airbus A320,10.0,False,10,4,10,0,DUS,7.166666666666667,Narrow-body
LX 160,Departed,IsOperator,False,2025-10-03 11:00:00+00:00,2025-10-03 11:00:00+00:00,E46,NRT,Tokyo,jp,SWISS,LX,Boeing 777,0.0,False,11,4,10,0,NRT,13.935483870967742,Wide-body
LX 72,Departed,IsOperator,False,2025-10-03 10:50:00+00:00,2025-10-03 11:00:00+00:00,D38,IAD,Washington,us,SWISS,LX,Airbus A330,10.0,False,10,4,10,0,IAD,12.69182389937107,Wide-body
LX 816,Departed,IsOperator,False,2025-10-03 10:40:00+00:00,2025-10-03 11:00:00+00:00,B05,HAJ,Hanover,de,SWISS,LX,Embraer 190,20.0,False,10,4,10,0,HAJ,8.979057591623036,Regional
LX 2142,Departed,IsOperator,False,2025-10-03 10:05:00+00:00,2025-10-03 11:00:00+00:00,B35,VLC,Valencia,es,SWISS,LX,Airbus A320,55.0,True,10,4,10,0,VLC,7.36734693877551,Narrow-body
SWU 2103,Departed,IsOperator,False,2025-10-03 11:03:00+00:00,2025-10-03 11:03:00+00:00,Unknown,Unknown,Unknown,Unknown,SWU,Unknown,De Havilland Canada DHC-8-400 Dash 8Q,0.0,False,11,4,10,0,Unknown,1.31237721021611,Regional
LX 1628,Departed,IsOperator,False,2025-10-03 11:05:00+00:00,2025-10-03 11:05:00+00:00,A53,MXP,Milan,it,SWISS,LX,Embraer 190,0.0,False,11,4,10,0,MXP,5.628440366972477,Regional
LX 780,Departed,IsOperator,False,2025-10-03 10:55:00+00:00,2025-10-03 11:05:00+00:00,A51,BRU,Brussels,be,SWISS,LX,Airbus A220-100,10.0,False,10,4,10,0,BRU,8.1625,Narrow-body
LX 2806,Departed,IsOperator,False,2025-10-03 11:00:00+00:00,2025-10-03 11:15:00+00:00,B06,GVA,Geneva,ch,SWISS,LX,Embraer 195,15.0,False,11,4,10,0,GVA,7.534985422740525,Regional
LX 1104,Departed,IsOperator,False,2025-10-03 11:15:00+00:00,2025-10-03 11:15:00+00:00,A55,MUC,Munich,de,SWISS,LX,Embraer 195,0.0,False,11,4,10,0,MUC,8.583617747440274,Regional
LX 2084,Departed,IsOperator,False,2025-10-03 10:50:00+00:00,2025-10-03 11:15:00+00:00,B41,LIS,Lisbon,pt,SWISS,LX,Airbus A320 NEO,25.0,False,10,4,10,0,LIS,17.059063136456214,Narrow-body
LX 1662,Departed,IsOperator,False,2025-10-03 10:35:00+00:00,2025-10-03 11:15:00+00:00,A03,VCE,Venice,it,SWISS,LX,Embraer 190,40.0,False,10,4,10,0,VCE,4.755725190839694,Regional
LX 8,Departed,IsOperator,False,2025-10-03 11:05:00+00:00,2025-10-03 11:15:00+00:00,E19,ORD,Chicago,us,SWISS,LX,Boeing 777,10.0,False,11,4,10,0,ORD,15.425287356321839,Wide-body
LX 1736,Departed,IsOperator,False,2025-10-03 10:45:00+00:00,2025-10-03 11:15:00+00:00,A83,FCO,Rome,it,SWISS,LX,Airbus A320 NEO,30.0,False,10,4,10,0,FCO,4.507547169811321,Narrow-body
LX 2114,Departed,IsOperator,False,2025-10-03 11:10:00+00:00,2025-10-03 11:15:00+00:00,A74,AGP,Málaga,es,SWISS,LX,Airbus A321,5.0,False,11,4,10,0,AGP,10.074906367041198,Narrow-body
LX 14,Departed,IsOperator,False,2025-10-03 11:15:00+00:00,2025-10-03 11:20:00+00:00,E23,JFK,New York,us,SWISS,LX,Airbus A330,5.0,False,11,4,10,0,JFK,8.972868217054264,Wide-body
LX 38,Departed,IsOperator,False,2025-10-03 11:10:00+00:00,2025-10-03 11:25:00+00:00,E53,SFO,San Francisco,us,SWISS,LX,Boeing 777,15.0,False,11,4,10,0,SFO,13.117117117117116,Wide-body
LX 64,Departed,IsOperator,False,2025-10-03 11:05:00+00:00,2025-10-03 11:25:00+00:00,E22,MIA,Miami,us,SWISS,LX,Boeing 777,20.0,False,11,4,10,0,MIA,16.253424657534246,Wide-body
LX 188,Departed,IsOperator,False,2025-10-03 11:25:00+00:00,2025-10-03 11:30:00+00:00,D25,PVG,Shanghai,cn,SWISS,LX,Airbus A340,5.0,False,11,4,10,0,PVG,15.960526315789474,Wide-body
OS 556,Departed,IsOperator,False,2025-10-03 11:30:00+00:00,2025-10-03 11:30:00+00:00,A75,VIE,Vienna,at,Austrian,OS,Airbus A320,0.0,False,11,4,10,0,VIE,6.910039113428944,Narrow-body
DL 53,Departed,IsOperator,False,2025-10-03 11:35:00+00:00,2025-10-03 11:30:00+00:00,E52,JFK,New York,us,Delta Air Lines,DL,Boeing 767-300,-5.0,False,11,4,10,0,JFK,8.972868217054264,Wide-body
WK 186,Departed,IsOperator,False,2025-10-03 11:15:00+00:00,2025-10-03 11:30:00+00:00,D55,AYT,Antalya,tr,Edelweiss Air,WK,Airbus A320,15.0,False,11,4,10,0,AYT,14.958677685950413,Narrow-body
WK 10,Departed,IsOperator,False,2025-10-03 11:25:00+00:00,2025-10-03 11:30:00+00:00,E35,YVR,Vancouver,ca,Edelweiss Air,WK,Airbus A350-900,5.0,False,11,4,10,0,YVR,26.35,Wide-body
LX 40,Departed,IsOperator,False,2025-10-03 11:05:00+00:00,2025-10-03 11:30:00+00:00,E26,LAX,Los Angeles,us,SWISS,LX,Boeing 777,25.0,False,11,4,10,0,LAX,31.166666666666668,Wide-body
CX 382,Departed,IsOperator,False,2025-10-03 11:30:00+00:00,2025-10-03 11:30:00+00:00,E56,HKG,Hong Kong,hk,Cathay Pacific,CX,Airbus A350-900,0.0,False,11,4,10,0,HKG,10.402234636871508,Wide-body
AC 881,Departed,IsOperator,False,2025-10-03 11:25:00+00:00,2025-10-03 11:30:00+00:00,E34,YYZ,Toronto,ca,Air Canada,AC,Boeing 777-300,5.0,False,11,4,10,0,YYZ,12.20388349514563,Wide-body
TG 971,Departed,IsOperator,False,2025-10-03 11:30:00+00:00,2025-10-03 11:30:00+00:00,E47,BKK,Bangkok,th,Thai  International,TG,Boeing 777,0.0,False,11,4,10,0,BKK,10.163742690058479,Wide-body
LX 1168,Departed,IsOperator,False,2025-10-03 11:10:00+00:00,2025-10-03 11:30:00+00:00,A52,STR,Stuttgart,de,SWISS,LX,Embraer 195,20.0,False,11,4,10,0,STR,5.4523809523809526,Regional
TP 931,Departed,IsOperator,False,2025-10-03 11:15:00+00:00,2025-10-03 11:35:00+00:00,A81,LIS,Lisbon,pt,TAP Air Portugal,TP,Airbus A320,20.0,False,11,4,10,0,LIS,17.059063136456214,Narrow-body
LX 968,Departed,IsOperator,False,2025-10-03 11:35:00+00:00,2025-10-03 11:35:00+00:00,A56,BER,Berlin,de,SWISS,LX,Airbus A220-100,0.0,False,11,4,10,0,BER,7.192926045016077,Narrow-body
LX 122,Departed,IsOperator,False,2025-10-03 11:20:00+00:00,2025-10-03 11:40:00+00:00,D54,ICN,Seoul,kr,SWISS,LX,Airbus A340,20.0,False,11,4,10,0,ICN,26.060606060606062,Wide-body
DE 1472,Departed,IsOperator,False,2025-10-03 10:55:00+00:00,2025-10-03 11:40:00+00:00,D39,LCA,Larnarca,cy,Condor,DE,Airbus A320,45.0,True,10,4,10,0,LCA,8.384057971014492,Narrow-body
WK 4,Departed,IsOperator,False,2025-10-03 11:20:00+00:00,2025-10-03 11:40:00+00:00,E27,TPA,Tampa,us,Edelweiss Air,WK,Airbus A340,20.0,False,11,4,10,0,TPA,19.571428571428573,Wide-body
UA 45,Departed,IsOperator,False,2025-10-03 11:35:00+00:00,2025-10-03 11:50:00+00:00,E42,SFO,San Francisco,us,United,UA,Boeing 777-200,15.0,False,11,4,10,0,SFO,13.117117117117116,Wide-body
FI 569,Departed,IsOperator,False,2025-10-03 12:00:00+00:00,2025-10-03 11:50:00+00:00,A86,KEF,Reykjavik,is,Icelandair,FI,Boeing 737 MAX 8,-10.0,False,12,4,10,0,KEF,14.635294117647058,Narrow-body
NJE 146,Departed,IsOperator,False,2025-10-03 11:55:00+00:00,2025-10-03 11:55:00+00:00,Unknown,TRN,Torino,it,NetJets Europe,Unknown,Embraer Pheom 300,0.0,False,11,4,10,0,TRN,-1.3888888888888888,Regional
U2 1541,Boarding,Unknown,False,2025-10-03 11:20:00+00:00,2025-10-03 12:00:00+00:00,E58,LHR,London,gb,easyJet,U2,Airbus A319,40.0,False,11,4,10,0,LHR,6.634457611668186,Narrow-body
NJE 358,Departed,IsOperator,False,2025-10-03 12:00:00+00:00,2025-10-03 12:00:00+00:00,Unknown,XRY,Jerez de la Forntera,es,NetJets Europe,Unknown,Embraer Phenom 300,0.0,False,12,4,10,0,XRY,1.8181818181818181,Regional
SK 842,Departed,IsOperator,False,2025-10-03 12:00:00+00:00,2025-10-03 12:00:00+00:00,A72,OSL,Oslo,no,SAS,SK,Airbus A320 NEO,0.0,False,12,4,10,0,OSL,6.579787234042553,Narrow-body
XXM 215,Departed,IsOperator,False,2025-10-03 12:15:00+00:00,2025-10-03 12:05:00+00:00,Unknown,NUE,Nuremberg,de,Unknown/Private owner,Unknown,DA 62,-10.0,False,12,4,10,0,NUE,1.6666666666666667,Other
EI 34J,Departed,IsOperator,False,2025-10-03 12:09:00+00:00,2025-10-03 12:09:00+00:00,Unknown,DUB,Dublin,ie,Aer Lingus,EI,Airbus A320,0.0,False,12,4,10,0,DUB,9.088339222614842,Narrow-body
KL 1922,Departed,IsOperator,False,2025-10-03 12:20:00+00:00,2025-10-03 12:14:00+00:00,B33,AMS,Amsterdam,nl,KLM,KL,Embraer 190,-6.0,False,12,4,10,0,AMS,11.314754098360655,Regional
BA 713,Departed,IsOperator,False,2025-10-03 11:20:00+00:00,2025-10-03 12:19:00+00:00,E62,LHR,London,gb,British,BA,Airbus A319,59.0,True,11,4,10,0,LHR,6.634457611668186,Narrow-body
HBJWA,Departed,IsOperator,False,2025-10-03 12:30:00+00:00,2025-10-03 12:20:00+00:00,Unknown,PRN,Prishtina,ks,Unknown/Private owner,Unknown,Canadair Challenger,-10.0,False,12,4,10,0,PRN,9.268987341772151,Other
SAZ 55,Departed,IsOperator,False,2025-10-03 12:24:00+00:00,2025-10-03 12:24:00+00:00,Unknown,Unknown,Unknown,Unknown,SAZ,Unknown,Canadair Challenger,0.0,False,12,4,10,0,Unknown,1.31237721021611,Other
WK 336,Departed,IsOperator,False,2025-10-03 12:25:00+00:00,2025-10-03 12:25:00+00:00,A73,JTR,Santorini Island,gr,Edelweiss Air,WK,Airbus A320 (Sharklets),0.0,False,12,4,10,0,JTR,4.615384615384615,Narrow-body
N3 11MX,Departed,IsOperator,False,2025-10-03 12:30:00+00:00,2025-10-03 12:30:00+00:00,Unknown,QLS,Lausanne,ch,Unknown/Private owner,Unknown,Piper Pa-46-600Tp M600,0.0,False,12,4,10,0,QLS,-1.2222222222222223,Other
IB 1286,Departed,IsOperator,False,2025-10-03 12:45:00+00:00,2025-10-03 12:45:00+00:00,B02,MAD,Madrid,es,Iberia,IB,Regional-Jet,0.0,False,12,4,10,0,MAD,8.555555555555555,Other
U2 3296,Departed,IsOperator,False,2025-10-03 12:35:00+00:00,2025-10-03 12:50:00+00:00,E43,EDI,Edinburgh,gb,easyJet,U2,Airbus A320,15.0,False,12,4,10,0,EDI,10.41,Narrow-body
BA 8766,Departed,IsOperator,False,2025-10-03 12:55:00+00:00,2025-10-03 12:55:00+00:00,E47,LCY,London,gb,British,BA,Embraer 190,0.0,False,12,4,10,0,LCY,6.680981595092025,Regional
DKA 127,Departed,IsOperator,False,2025-10-03 13:00:00+00:00,2025-10-03 13:00:00+00:00,Unknown,Unknown,Unknown,Unknown,DKA,Unknown,Unknown,0.0,False,13,4,10,0,Unknown,1.31237721021611,Unknown
NJE 386,Departed,IsOperator,False,2025-10-03 13:05:00+00:00,2025-10-03 13:05:00+00:00,Unknown,LBG,Paris,fr,NetJets Europe,Unknown,Cessna 680A Citation Latitude,0.0,False,13,4,10,0,LBG,-4.340425531914893,Other
XQ 621,Departed,IsOperator,False,2025-10-03 13:00:00+00:00,2025-10-03 13:09:00+00:00,E58,AYT,Antalya,tr,Sun Express,XQ,Boeing 737-800,9.0,False,13,4,10,0,AYT,14.958677685950413,Narrow-body
AF 1615,Departed,IsOperator,False,2025-10-03 12:50:00+00:00,2025-10-03 13:15:00+00:00,B31,CDG,Paris,fr,Air France,AF,Airbus A220-300,25.0,False,12,4,10,0,CDG,11.938775510204081,Narrow-body
OU 463,Departed,IsOperator,False,2025-10-03 13:00:00+00:00,2025-10-03 13:15:00+00:00,A54,SPU,Split,hr,Croatia,OU,De Havilland Canada DHC-8-400 Dash 8Q,15.0,False,13,4,10,0,SPU,6.684210526315789,Regional
XQ 961,Departed,IsOperator,False,2025-10-03 12:55:00+00:00,2025-10-03 13:15:00+00:00,E52,ADB,İzmir,tr,Sun Express,XQ,Boeing 737-800,20.0,False,12,4,10,0,ADB,11.788732394366198,Narrow-body
TK 1914,Departed,IsOperator,False,2025-10-03 13:00:00+00:00,2025-10-03 13:20:00+00:00,E46,IST,Istanbul,tr,Turkish,TK,Airbus A321 (Sharklets),20.0,False,13,4,10,0,IST,12.96,Narrow-body
LH 1191,Departed,IsOperator,False,2025-10-03 12:40:00+00:00,2025-10-03 13:20:00+00:00,A52,FRA,Frankfurt-am-Main,de,Lufthansa,LH,Regional-Jet,40.0,False,12,4,10,0,FRA,7.53932584269663,Other
JU 333,Departed,IsOperator,False,2025-10-03 13:10:00+00:00,2025-10-03 13:25:00+00:00,E42,BEG,Belgrade,rs,Air Serbia,JU,Airbus A319,15.0,False,13,4,10,0,BEG,10.236607142857142,Narrow-body
EK 88,Departed,IsOperator,False,2025-10-03 13:25:00+00:00,2025-10-03 13:30:00+00:00,E67,DXB,Dubai,ae,Emirates,EK,Airbus A380-800,5.0,False,13,4,10,0,DXB,9.906976744186046,Other
CS 802,Departed,IsOperator,False,2025-10-03 13:15:00+00:00,2025-10-03 13:30:00+00:00,B39,RHO,Rodes Island,gr,Comlux Aruba,CS,Airbus A319,15.0,False,13,4,10,0,RHO,4.0,Narrow-body
6K 784,Departed,IsOperator,False,2025-10-03 13:25:00+00:00,2025-10-03 13:35:00+00:00,E53,AYT,Antalya,tr,Songbird,6K,Airbus A330-200,10.0,False,13,4,10,0,AYT,14.958677685950413,Wide-body
LX 2086,Departed,IsOperator,False,2025-10-03 13:25:00+00:00,2025-10-03 13:40:00+00:00,A75,LIS,Lisbon,pt,SWISS,LX,Airbus A220-300,15.0,False,13,4,10,0,LIS,17.059063136456214,Narrow-body
OS 570,Departed,IsOperator,False,2025-10-03 13:05:00+00:00,2025-10-03 13:45:00+00:00,A85,VIE,Vienna,at,Austrian,OS,Airbus A220-300,40.0,False,13,4,10,0,VIE,6.910039113428944,Narrow-body
LX 324,Departed,IsOperator,False,2025-10-03 13:35:00+00:00,2025-10-03 13:45:00+00:00,E34,LHR,London,gb,SWISS,LX,Airbus A320 NEO,10.0,False,13,4,10,0,LHR,6.634457611668186,Narrow-body
TAH 784,Departed,IsOperator,False,2025-10-03 13:48:00+00:00,2025-10-03 13:48:00+00:00,Unknown,Unknown,Unknown,Unknown,Air Moorea,Unknown,Airbus A330-200,0.0,False,13,4,10,0,Unknown,1.31237721021611,Wide-body
EW 9763,Departed,IsOperator,False,2025-10-03 13:40:00+00:00,2025-10-03 13:50:00+00:00,B33,DUS,Düsseldorf,de,Eurowings,EW,Airbus A320,10.0,False,13,4,10,0,DUS,7.166666666666667,Narrow-body
SV 234,Departed,IsOperator,False,2025-10-03 14:00:00+00:00,2025-10-03 13:55:00+00:00,E62,RUH,Riyadh,sa,Saudi Arabian,SV,Airbus A320,-5.0,False,14,4,10,0,RUH,14.227272727272727,Narrow-body
XXM 250,Departed,IsOperator,False,2025-10-03 13:45:00+00:00,2025-10-03 13:55:00+00:00,Unknown,Unknown,Donaueschingen,Unknown,Unknown/Private owner,Unknown,Diamond DA42,10.0,False,13,4,10,0,Unknown,1.31237721021611,Other
EW 7763,Departed,IsOperator,False,2025-10-03 13:55:00+00:00,2025-10-03 13:55:00+00:00,B35,HAM,Hamburg,de,Eurowings,EW,Airbus A320,0.0,False,13,4,10,0,HAM,6.9766355140186915,Narrow-body
TP 921,Departed,IsOperator,False,2025-10-03 13:45:00+00:00,2025-10-03 14:00:00+00:00,A83,OPO,Porto,pt,TAP Air Portugal,TP,Airbus A321 NEO,15.0,False,13,4,10,0,OPO,13.863888888888889,Narrow-body
LX 2150,Departed,IsOperator,False,2025-10-03 13:35:00+00:00,2025-10-03 14:05:00+00:00,A74,PMI,Palma De Mallorca,es,SWISS,LX,Airbus A321 NEO,30.0,False,13,4,10,0,PMI,10.341603053435115,Narrow-body
LX 1958,Departed,IsOperator,False,2025-10-03 14:00:00+00:00,2025-10-03 14:05:00+00:00,A73,BCN,Barcelona,es,SWISS,LX,Airbus A321 NEO,5.0,False,14,4,10,0,BCN,9.162921348314606,Narrow-body
PC 950,Departed,IsOperator,False,2025-10-03 14:00:00+00:00,2025-10-03 14:10:00+00:00,E43,SAW,Istanbul,tr,Pegasus,PC,Airbus A321 NEO,10.0,False,14,4,10,0,SAW,19.242105263157896,Narrow-body
